Server ID,Operating System,OS Version,Decommission Deadline,Decommission Status,Location,Server Age,Usage,Criticality,Replacement Plan,Data Migration Status,Responsible Team,Maintenance History,Performance Metrics,Hardware Specs,Software Dependencies,Compliance Requirements,Security Risks,Maintenance Cost,Energy Consumption,Virtualization Suitability,Backup Status,Disaster Recovery Plan,Stakeholder Feedback,Project Milestones,Vendor Support,Environmental Impact,End-of-Life Date,Notes,Last Updated
Srv101,Windows Server,2012 R2,31/12/2023 0:00,In Progress,Data Center,8 years,Database Server,High,Yes,In Progress,IT Operations,Quarterly checks,99.9% uptime,"16GB RAM, 1TB HDD","SQL Server, ERP System",GDPR Compliance,None,$5000/year,500W,No,Up-to-date,Defined,Concerns about data migration,Q2 Server Review,Active,Recycling planned,30/06/2025 0:00,-,1/02/2023 0:00
Srv102,Linux,Ubuntu 20.04,30/06/2024 0:00,Not Started,On-Premise,3 years,Web Server,Medium,No,Not Started,Web Team,Monthly updates,99.7% uptime,"8GB RAM, 500GB SSD","Apache, WordPress",None,Moderate,$2000/year,300W,Yes,Delayed,Not applicable,Need faster replacement,Q3 Budget Planning,End of Support,-,31/12/2024 0:00,-,15/01/2023 0:00
Srv103,Windows Server,2008,31/05/2023 0:00,Delayed,Cloud,10 years,File Storage,Low,Yes,Completed,Storage Team,Annual maintenance,99.8% uptime,"4GB RAM, 2TB HDD",None,HIPAA Compliance,High,$3000/year,400W,No,Incomplete,Offsite backup plan,Upgrade needed soon,Q1 Risk Assessment,Unsupported,Hardware recycling,31/05/2023 0:00,-,30/01/2023 0:00
Srv104,Linux CentOS,8,1/05/2024 0:00,In Progress,On-Prem,4 years,Mail Server,Medium,No,In Progress,Communications,Semi-annual,99.6% Uptime,"32GB RAM, 2TB HDD","Postfix, Dovecot",None,Moderate,$4000/year,450W,Yes,Up-to-date,Cloud-synced,Need email migration plan,Q4 Security Audit,Active,Energy-efficient,15/08/2026 0:00,-,20/02/2024 0:00
Srv105,Windows Server,2019,30/11/2023 0:00,Not Started,Cloud,2 years,Development Server,Low,Yes,Not Started,DevOps Team,Monthly,99.5% Uptime,"64GB RAM, 4TB SSD","Visual Studio, Git",SOX,Low,$7000/year,550W,No,Not Configured,Not available,-,Q1 Dev Environment Setup,Ending soon,-,30/11/2024 0:00,-,15/02/2024 0:00
Srv106,Ubuntu,18.04 LTS,20/07/2025 0:00,Delayed,On-Prem,6 years,Test Server,High,No,Completed,QA Team,Quarterly,99.7% Uptime,"16GB RAM, 1TB SSD","Jenkins, Selenium","GDPR, HIPAA",High,$3500/year,400W,Yes,Incomplete,Regular drills,Delays in test automation,Q2 Performance Review,Active,Recycle when replaced,1/04/2027 0:00,-,5/02/2024 0:00
Srv107,macOS Server,5.7.1,15/01/2024 0:00,On Hold,Cloud,3 years,Creative Server,Medium,Yes,In Progress,Design Team,As needed,100% Uptime,"8-core CPU, 32GB RAM, 1TB Flash Storage",Adobe Creative Cloud,None,None,$6000/year,350W,No,Up-to-date,Time Machine,Request for more storage,Q3 Hardware Upgrade,Active,-,1/01/2025 0:00,-,12/02/2024 0:00
Srv108,Red Hat Enterprise Linux,7.9,30/09/2023 0:00,Decommissioned,On-Prem,7 years,Analytics Server,High,No,,Data Science,Annual,99.8% Uptime,"48-core CPU, 128GB RAM, 10TB SSD","Hadoop, Spark",None,None,$10000/year,750W,No,,Business continuity,-,Q3 Data Migration,Unsupported,-,30/09/2023 0:00,-,8/02/2024 0:00
Srv109,Windows Server,2019,17/12/2025 0:00,Not Started,Data Center,3 years,Application Server,Medium,Yes,Not Started,Storage Team,Quarterly checks,99.8% uptime,"4GB RAM, 2TB HDD","SQL Server, ERP System",HIPAA Compliance,High,$5906 per year,544W,No,Incomplete,Cloud-based solution,-,End of Support,Unsupported,-,13/01/2024 0:00,-,29/07/2025 0:00
Srv110,Linux,Red Hat 7,8/04/2024 0:00,Completed,On-Premise,10 years,File Server,Low,Yes,,Web Team,Monthly updates,99.8% uptime,"4GB RAM, 2TB HDD",None,None,None,$1541 per year,207W,No,Not Configured,Standard plan,-,End of Support,Active,Hardware recycling,6/08/2024 0:00,-,9/12/2025 0:00
Srv111,Windows Server,2012 R2,2/07/2023 0:00,Delayed,Data Center,3 years,Database Server,High,Yes,In Progress,IT Operations,Quarterly checks,99.9% uptime,"4GB RAM, 2TB HDD","Apache, WordPress",None,Moderate,$6358 per year,442W,Yes,Incomplete,Cloud-based solution,Need faster replacement,Q2 Server Review,Active,Hardware recycling,20/04/2024 0:00,-,2/11/2025 0:00
Srv112,Linux,Ubuntu 20.04,25/04/2025 0:00,Completed,On-Premise,5 years,Application Server,Medium,No,Not Started,Web Team,Annual maintenance,99.8% uptime,"4GB RAM, 2TB HDD",None,None,Moderate,$4351 per year,408W,Yes,Up-to-date,Not applicable,-,End of Support,Active,-,20/05/2025 0:00,-,23/04/2024 0:00
Srv113,Linux,Ubuntu 18.04,9/01/2023 0:00,Completed,On-Premise,8 years,Database Server,High,Yes,Completed,IT Operations,Quarterly checks,99.8% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",HIPAA Compliance,High,$4618 per year,448W,Yes,Up-to-date,Cloud-based solution,-,Q1 Risk Assessment,Ending soon,-,12/10/2024 0:00,-,21/11/2023 0:00
Srv114,Linux,Red Hat 7,6/03/2024 0:00,In Progress,Data Center,8 years,Database Server,High,Yes,Not Started,Web Team,Quarterly checks,99.8% uptime,"8GB RAM, 500GB SSD",None,None,Moderate,$6505 per year,300W,No,Not Configured,Standard plan,Need faster replacement,End of Support,Ending soon,-,12/10/2025 0:00,-,23/08/2023 0:00
Srv115,Ubuntu,Ubuntu 20.04,10/07/2023 0:00,Not Started,On-Premise,2 years,File Server,High,Yes,In Progress,Web Team,Quarterly checks,99.7% uptime,"8GB RAM, 500GB SSD",None,None,High,$4008 per year,322W,No,Not Configured,Defined,Concerns about data migration,End of Support,Active,Recycling planned,15/07/2023 0:00,-,4/12/2023 0:00
Srv116,Ubuntu,Ubuntu 20.04,13/02/2025 0:00,Not Started,Cloud,10 years,File Server,High,Yes,Not Started,Storage Team,Annual maintenance,99.8% uptime,"16GB RAM, 1TB HDD","SQL Server, ERP System",None,None,$1347 per year,325W,Yes,Incomplete,Defined,Need faster replacement,Q3 Budget Planning,Ending soon,Hardware recycling,1/01/2023 0:00,-,12/10/2025 0:00
Srv117,Linux,Ubuntu 20.04,23/12/2025 0:00,Not Started,On-Premise,10 years,File Server,High,Yes,,Web Team,Monthly updates,99.8% uptime,"4GB RAM, 2TB HDD",None,HIPAA Compliance,None,$5374 per year,597W,No,Not Configured,Not applicable,-,Q3 Budget Planning,Active,-,7/11/2023 0:00,-,4/10/2025 0:00
Srv118,Ubuntu,Ubuntu 20.04,9/10/2024 0:00,Not Started,Data Center,7 years,Application Server,High,No,In Progress,IT Operations,Quarterly checks,99.7% uptime,"16GB RAM, 1TB HDD","SQL Server, ERP System",HIPAA Compliance,None,$2132 per year,662W,No,Incomplete,Not applicable,Upgrade needed soon,End of Support,Ending soon,Hardware recycling,25/10/2025 0:00,-,3/11/2024 0:00
Srv119,Ubuntu,Red Hat 7,10/08/2025 0:00,Not Started,On-Premise,8 years,File Server,High,No,Completed,Web Team,Annual maintenance,99.8% uptime,"4GB RAM, 2TB HDD","SQL Server, ERP System",HIPAA Compliance,High,$6527 per year,443W,No,Not Configured,Defined,Need faster replacement,End of Support,Unsupported,-,14/12/2025 0:00,-,12/11/2024 0:00
Srv120,Ubuntu,Red Hat 8,12/04/2025 0:00,Delayed,On-Premise,6 years,File Server,Low,No,Completed,IT Operations,Quarterly checks,99.9% uptime,"4GB RAM, 2TB HDD","Apache, WordPress",GDPR Compliance,None,$3507 per year,590W,No,Not Configured,Standard plan,Concerns about data migration,Q1 Risk Assessment,Active,Hardware recycling,2/01/2024 0:00,-,26/09/2024 0:00
Srv121,Windows Server,Red Hat 7,6/05/2023 0:00,Completed,Cloud,7 years,Application Server,Medium,Yes,In Progress,IT Operations,Quarterly checks,99.8% uptime,"8GB RAM, 500GB SSD","SQL Server, ERP System",GDPR Compliance,Moderate,$1475 per year,563W,No,Incomplete,Defined,Need faster replacement,End of Support,Unsupported,Hardware recycling,10/06/2023 0:00,-,28/09/2025 0:00
Srv122,Windows Server,Ubuntu 20.04,28/04/2025 0:00,Completed,Cloud,5 years,Web Server,Medium,No,In Progress,IT Operations,Quarterly checks,99.8% uptime,"16GB RAM, 1TB HDD",None,None,Moderate,$2095 per year,373W,No,Up-to-date,Not applicable,Need faster replacement,Q3 Budget Planning,Active,Hardware recycling,17/01/2025 0:00,-,21/04/2023 0:00
Srv123,Ubuntu,Ubuntu 20.04,20/03/2025 0:00,In Progress,Data Center,10 years,File Server,High,No,Not Started,DevOps Team,Annual maintenance,99.9% uptime,"4GB RAM, 2TB HDD",None,GDPR Compliance,Moderate,$3514 per year,687W,Yes,Incomplete,Standard plan,-,Q3 Budget Planning,Active,-,23/04/2023 0:00,-,21/04/2025 0:00
Srv124,Ubuntu,Ubuntu 18.04,6/09/2024 0:00,Completed,On-Premise,2 years,File Server,Low,Yes,Completed,Web Team,Monthly updates,99.8% uptime,"8GB RAM, 500GB SSD","Apache, WordPress",None,High,$2368 per year,339W,No,Incomplete,Not applicable,-,Q2 Server Review,Ending soon,Recycling planned,5/04/2025 0:00,-,21/05/2023 0:00
Srv125,Linux,2016,15/09/2023 0:00,Delayed,Data Center,3 years,Web Server,Low,Yes,In Progress,DevOps Team,Monthly updates,99.7% uptime,"16GB RAM, 1TB HDD",None,HIPAA Compliance,High,$1387 per year,459W,No,Up-to-date,Standard plan,-,Q3 Budget Planning,Unsupported,Recycling planned,8/01/2023 0:00,-,11/09/2024 0:00
Srv126,Linux,2016,8/03/2023 0:00,In Progress,Data Center,2 years,Web Server,High,No,In Progress,IT Operations,Monthly updates,99.8% uptime,"16GB RAM, 1TB HDD",None,HIPAA Compliance,None,$2694 per year,366W,No,Incomplete,Cloud-based solution,Concerns about data migration,Q2 Server Review,Ending soon,-,20/09/2025 0:00,-,5/12/2024 0:00
Srv127,Windows Server,Ubuntu 18.04,9/10/2025 0:00,In Progress,Data Center,10 years,Application Server,High,Yes,Not Started,IT Operations,Annual maintenance,99.7% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",HIPAA Compliance,None,$1128 per year,383W,Yes,Not Configured,Not applicable,Concerns about data migration,Q2 Server Review,Active,Recycling planned,11/06/2023 0:00,-,25/03/2023 0:00
Srv128,Linux,Ubuntu 20.04,11/10/2025 0:00,Completed,Data Center,8 years,Database Server,High,Yes,In Progress,Storage Team,Quarterly checks,99.7% uptime,"8GB RAM, 500GB SSD","Apache, WordPress",GDPR Compliance,High,$5747 per year,524W,No,Not Configured,Not applicable,Concerns about data migration,End of Support,Ending soon,Hardware recycling,2/03/2025 0:00,-,12/04/2023 0:00
Srv129,Ubuntu,2016,25/11/2024 0:00,Delayed,On-Premise,5 years,Application Server,Medium,No,Not Started,Web Team,Monthly updates,99.8% uptime,"4GB RAM, 2TB HDD",None,GDPR Compliance,None,$1469 per year,243W,No,Incomplete,Defined,-,Q2 Server Review,Unsupported,Hardware recycling,30/01/2024 0:00,-,9/07/2023 0:00
Srv130,Windows Server,Ubuntu 20.04,31/05/2025 0:00,Not Started,Data Center,8 years,Web Server,Medium,No,Not Started,DevOps Team,Monthly updates,99.7% uptime,"4GB RAM, 2TB HDD","SQL Server, ERP System",None,Moderate,$3285 per year,663W,No,Not Configured,Defined,Need faster replacement,Q2 Server Review,Ending soon,Recycling planned,19/12/2023 0:00,-,1/08/2025 0:00
Srv131,Windows Server,2016,4/04/2025 0:00,Completed,On-Premise,7 years,Web Server,Medium,No,In Progress,Storage Team,Quarterly checks,99.7% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",GDPR Compliance,High,$3103 per year,204W,No,Incomplete,Defined,-,End of Support,Active,-,18/08/2024 0:00,-,29/11/2024 0:00
Srv132,Ubuntu,2016,29/06/2023 0:00,Delayed,Cloud,3 years,File Server,Medium,Yes,,Storage Team,Quarterly checks,99.7% uptime,"8GB RAM, 500GB SSD",None,GDPR Compliance,None,$1417 per year,510W,No,Incomplete,Defined,-,Q3 Budget Planning,Ending soon,Hardware recycling,25/12/2025 0:00,-,26/08/2024 0:00
Srv133,Ubuntu,Ubuntu 18.04,16/10/2024 0:00,Not Started,Data Center,3 years,Web Server,High,No,,IT Operations,Annual maintenance,99.7% uptime,"4GB RAM, 2TB HDD","SQL Server, ERP System",GDPR Compliance,None,$5586 per year,469W,No,Not Configured,Cloud-based solution,Concerns about data migration,End of Support,Active,Hardware recycling,28/12/2025 0:00,-,14/12/2024 0:00
Srv134,Linux,Red Hat 8,9/12/2024 0:00,Completed,Data Center,9 years,Application Server,Medium,Yes,Not Started,IT Operations,Annual maintenance,99.7% uptime,"16GB RAM, 1TB HDD","SQL Server, ERP System",HIPAA Compliance,None,$3549 per year,664W,Yes,Incomplete,Cloud-based solution,Need faster replacement,Q3 Budget Planning,Unsupported,Recycling planned,6/03/2024 0:00,-,28/06/2024 0:00
Srv135,Linux,2016,16/05/2024 0:00,In Progress,Cloud,1 years,Database Server,Low,Yes,,Storage Team,Monthly updates,99.9% uptime,"8GB RAM, 500GB SSD","Apache, WordPress",HIPAA Compliance,Moderate,$1095 per year,567W,Yes,Up-to-date,Defined,Upgrade needed soon,End of Support,Ending soon,Hardware recycling,15/04/2025 0:00,-,10/10/2024 0:00
Srv136,Linux,Ubuntu 20.04,23/03/2025 0:00,In Progress,On-Premise,5 years,Database Server,High,Yes,,DevOps Team,Annual maintenance,99.7% uptime,"4GB RAM, 2TB HDD","SQL Server, ERP System",GDPR Compliance,None,$2347 per year,475W,No,Incomplete,Defined,-,Q2 Server Review,Unsupported,Recycling planned,7/07/2023 0:00,-,5/06/2025 0:00
Srv137,Windows Server,2019,16/11/2024 0:00,In Progress,Cloud,9 years,Application Server,Medium,No,,DevOps Team,Monthly updates,99.8% uptime,"16GB RAM, 1TB HDD","Apache, WordPress",GDPR Compliance,Moderate,$5965 per year,259W,No,Up-to-date,Cloud-based solution,Need faster replacement,Q3 Budget Planning,Unsupported,Recycling planned,1/02/2025 0:00,-,13/03/2024 0:00
Srv138,Windows Server,Ubuntu 18.04,18/12/2025 0:00,Completed,Cloud,4 years,Application Server,High,Yes,Not Started,IT Operations,Annual maintenance,99.9% uptime,"8GB RAM, 500GB SSD",None,None,Moderate,$5467 per year,327W,No,Not Configured,Not applicable,-,End of Support,Ending soon,-,2/06/2024 0:00,-,24/11/2025 0:00
Srv139,Ubuntu,Red Hat 7,18/04/2024 0:00,Completed,Cloud,6 years,Web Server,Medium,Yes,Completed,Web Team,Annual maintenance,99.8% uptime,"8GB RAM, 500GB SSD","SQL Server, ERP System",HIPAA Compliance,None,$1063 per year,316W,Yes,Incomplete,Not applicable,-,Q1 Risk Assessment,Ending soon,-,26/01/2023 0:00,-,18/04/2024 0:00
Srv140,Linux,2016,30/04/2024 0:00,Not Started,On-Premise,1 years,Web Server,Low,No,Not Started,IT Operations,Annual maintenance,99.7% uptime,"4GB RAM, 2TB HDD",None,GDPR Compliance,High,$3622 per year,420W,Yes,Not Configured,Cloud-based solution,Concerns about data migration,End of Support,Active,Recycling planned,29/12/2024 0:00,-,30/07/2024 0:00
